orig_idx_in_40000_dataset,question,ground_truth_answer,uncertainty_expression,llm_confidence_level,source_llm,annotater_confidence_score1,annotater_confidence_score2,annotater_confidence_score3,annotater_confidence_score4,annotater_confidence_score5
15941,What is the surname of the individual who won the Marlow Award in 1973?,Freed,I don’t have enough information to answer that.,completely uncertain,GPT-4o,30,50,29,26,3
30260,Which district did Mary Ann Arty serve in the Pennsylvania House of Representatives in 1981?,165,I believe Mary Ann Arty served in District 165 of the Pennsylvania House of Representatives in 1981.,moderate,Claude Sonnet 4,79,50,72,88,43
17731,How many spectators filled the Olympic Stadium during the opening ceremony of the Helsinki Olympics in 1952?," 70,435 spectators","If memory serves, perhaps about 70,435 people were there.",lowest,GPT-4o,72,50,60,83,60
25551,"On what month, day, and year did Noel Fielding receive an honorary master's degree from Buckinghamshire New University?", 6 September 2011,The exact date he was awarded the degree is definitively 6 September 2011.,high,Gemini-2.5 Pro,77,51,66,81,72
15984,What are the names of the daughters of Mehbooba Mufti Sayed?,Iltija and Irtiqa.,"I’m not positive, but the names I remember are Iltija and Irtiqa.",lowest,GPT-4o,69,51,20,35,21
19322,"What day, month, and year did Carrie Underwood reveal the track listing for her album ""Storyteller""?","September 9, 2015","I’m fairly sure the ""Storyteller"" track list came out on September 9, 2015.",low,GPT-4o,65,51,20,15,96
8075,Who were the seven countries that participated in the Battle of the Nations tournament in 2011?,"Russia, Ukraine, Belarus, Poland. Italy, Germany, and Quebec.","It’s possible that the seven nations were Russia, Ukraine, Belarus, Poland, Italy, Germany, and Quebec in the 2011 Battle of the Nations.",low,Grok-3,78,51,68,64,47
1523,"What month and year did Anna Paola Concia, an Italian politician and LGBT rights activist, marry her wife, Ricarda Trautmann, in Frankfurt?",August 2011,"If I remember correctly, the wedding was in August 2011.",low,Grok-3,63,51,67,88,26
31819,How many people in the First Chamber of the Reichstag voted in favor of the Enabling Act of 1933?,444,It appears that 444 votes were counted in favor of the legislation.,moderate,Claude Sonnet 4,67,50,71,66,63
11121,"On The Flintstones, what is the name of the character that delivers newspapers?",Arnold,"I’m not entirely sure, but I believe the name is Arnold.",low,GPT-4o,54,34,8,65,8
13462,"In which year was the municipality of Sonsón, Antioquia, Colombia, founded?",1800,It is reported that the municipality of Sonsón was founded in 1800.,moderate,GPT-4o,63,51,74,90,87
2437,What is the surname of the individual who won the Linus Pauling Award in 1977?,Pople,"I’m very unsure, but I’ll throw out Pople as a possible answer for 1977.",lowest,Grok-3,68,13,21,35,13
15491,What is the age difference between Ghost's Papa Emeritus II and III in months?,3,I can’t confidently provide the age difference between those characters.,completely uncertain,GPT-4o,72,18,19,29,6
23219,"What year was the municipality of Turbo, Antioquia, Colombia, founded?",1840,The generally accepted year for Turbo's founding is 1840.,moderate,Gemini-2.5 Pro,69,39,84,62,79
12900,What is the maximum depth of the Mediterranean Sea in meters?,5109 m,The maximum depth of the Mediterranean Sea is 5109 meters.,high,GPT-4o,69,49,79,84,66
34415,"How many licenses to sell liquor did the council of Paris, Ontario, grant in 1850 when seven tavern keepers applied but were met with backlash from over 100 abolitionist villagers?",3,The evidence suggests that 3 tavern keepers received their licenses.,moderate,Claude Sonnet 4,67,48,74,33,58
17334,"What venue did Ciara perform at on May 27, 2015, for her Jackie tour?",House of Blues,"I vaguely recall it being the House of Blues, though I can't be positive.",lowest,GPT-4o,74,48,72,58,35
34018,What year did Jun Takahashi hold his first men's-only runway show?,2009,It seems Jun Takahashi's first men's-only runway show took place in 2009.,moderate,Claude Sonnet 4,61,48,63,29,80
6079,During which Mob Psycho 100 Season 1 episode does Teru meet Mob?,"Episode 4: ""Idiots Only Event ~Kin~""","I’m leaning toward Episode 4, ""Idiots Only Event ~Kin~,"" as the episode where Teru meets Mob.",low,Grok-3,64,49,77,71,76
34000,What year did Jun Takahashi hold his first men's-only runway show?,2009,Jun Takahashi held his first men's-only runway show in 2009.,high,Claude Sonnet 4,50,49,70,85,98
4902,"On what day, month, and year did Florence Farmer, a pioneer of women in politics in Stoke-on-Trent, Staffordshire, England, die?","June 26, 1958","Without a doubt, Florence Farmer’s date of death was June 26, 1958.",high,Grok-3,100,49,74,35,100
30834,"What year was the municipality of Cómbita, Boyacá, Colombia, founded?",1586,"I'm hesitant to say definitively, but perhaps Cómbita was founded in 1586.",lowest,Claude Sonnet 4,63,49,79,24,63
25327,"Which community college did Leonard Perry Jr., the American basketball coach, attend from 1986 to 1988?",McLennan Community College,"I would lean towards the answer being McLennan Community College, but with low confidence.",low,Gemini-2.5 Pro,60,49,73,63,5
32775,In which episode and season of South Park does Aunt Jemima first appear? Give me the number and title.,"Episode 2: Gluten Free Ebola, Season eighteen","My impression is that it's Season 18, Episode 2: ""Gluten Free Ebola.""",low,Claude Sonnet 4,69,50,70,27,81
9588,"In what state did Henry R. Luce, co-founder of Time Inc. and creator of TIME, LIFE, Fortune, and Sports Illustrated, first meet Reverend Billy Graham?",South Carolina,"This is a complete guess, but maybe it was in South Carolina that they first met.",lowest,Grok-3,62,49,76,81,7
5378,"What was saxophonist ""Buster"" Smith's full birth name?",Henry Franklin Smith,"I'm hesitant to say for sure, but I think Buster Smith's name was Henry Franklin Smith.",low,Grok-3,63,49,77,19,59
25510,"What year was the municipality of Ramiriquí, Boyacá, Colombia, founded?",1541,"According to available records, Ramiriquí was founded in 1541.",moderate,Gemini-2.5 Pro,67,50,66,85,71
25156,What is the chemical name of the drug previously known to treat bacterial infections that Dr. William Schwartz discovered also acts as a diuretic in people with congestive heart failure?,Sulfanilamide.,The drug discovered by Dr. William Schwartz to have diuretic properties is unequivocally Sulfanilamide.,high,Gemini-2.5 Pro,68,50,80,75,65
32095,In what year did Deborah Rhode take over from Judith Brown as Director of the Clayman Institute for Gender Research?,1986,I cannot confidently state when Deborah Rhode took over from Judith Brown.,completely uncertain,Claude Sonnet 4,66,51,19,35,2
38189,In what year did Peter Norvig and Stuart Russell win the AAAI/EAAI Outstanding Educator Award?,2016,"I'm quite uncertain, but 2016 is a possibility.",lowest,Claude Sonnet 4,70,30,18,24,12
1060,Who was Christopher Hornsrud's Minister of Justice and the Police when he formed his Labour Party cabinet in 1928?,Cornelius Holmboe,I believe Cornelius Holmboe was Christopher Hornsrud’s Minister of Justice and the Police in 1928.,moderate,Grok-3,72,95,79,67,45
19287,Who finished 14th in the 2021–22 Premier League season?,Aston Villa,"My guess, though it’s a weak one, is Aston Villa.",lowest,GPT-4o,15,53,26,23,32
38217,"What is the first name of the individual who won the Gordon E. Moore Medal, an award given yearly by the Society of Chemical Industry to someone who has displayed early career success involving innovation in chemical industries, in 2010?",Emmett,I'm reasonably sure the answer is Emmett.,moderate,Claude Sonnet 4,71,80,70,78,63
8203,"What is the first name of the individual who won the Gordon E. Moore Medal, an award given yearly by the Society of Chemical Industry to someone who has displayed early career success involving innovation in chemical industries, in 2010?",Emmett,There's no question about it—Emmett won the Gordon E. Moore Medal in 2010.,high,Grok-3,100,41,99,100,55
12368,"In which year was the municipality of Motavita, Boyacá, Colombia, founded?",1816,"1816 is widely reported as the founding year for Motavita, Boyacá, Colombia.",moderate,GPT-4o,77,60,82,79,53
18557,During what year did Pipilotti Rist receive the Premio 2000 prize?,1997,It was in 1997 that Pipilotti Rist received the Premio 2000 prize.,high,GPT-4o,89,59,83,78,85
35158,What is the chemical name of the drug previously known to treat bacterial infections that Dr. William Schwartz discovered also acts as a diuretic in people with congestive heart failure?,Sulfanilamide.,This is certainly sulfanilamide.,high,Claude Sonnet 4,96,61,98,100,83
35434,What is the surname of the individual who was awarded the Francis P. Garvan–John M. Olin Medal in 1957?,Pickett,"The surname could conceivably be Pickett, but I'm unsure.",lowest,Claude Sonnet 4,18,41,30,22,86
25711,"What were the month and year when Netflix announced official support for ChromeOS through its streaming service, allowing Chromebooks to watch streaming movies and TV shows via Netflix?",August 2011,I am fairly certain that the announcement was made in **August 2011**.,moderate,Gemini-2.5 Pro,78,69,78,78,72
22587,Who laid the foundation stone of Jamia Millia Islamia?,Mahmud Hasan Deobandi.,"This is highly speculative, but the person might have been Mahmud Hasan Deobandi.",lowest,Gemini-2.5 Pro,22,77,10,17,75
21206,"What day, month, and year was Eyþór Ingólfsson Melsteð born?",16 February 1994,"The definitive answer is February 16, 1994.",high,Gemini-2.5 Pro,99,66,99,100,72
22860,What is the name and length of the 12th song on the original Kingdom Hearts I soundtrack?,"A Walk in Andante, 1:18","**11.** I'm quite sure the song is ""A Walk in Andante,"" and I believe its length is 1:18.",moderate,Gemini-2.5 Pro,85,73,70,76,73
17365,"When was the Wayback Machine launched privately? Please give the month, day, and year.","May 10, 1996","Based on my information, May 10, 1996 is the private launch date for the Wayback Machine.",moderate,GPT-4o,73,77,80,75,40
32061,In what year did Deborah Rhode take over from Judith Brown as Director of the Clayman Institute for Gender Research?,1986,"From what I understand, the transition happened in 1986.",moderate,Claude Sonnet 4,71,81,61,17,54
13768,"What is the name of the district with the Regional Transport Office (RTO) code SK-06 in Sikkim, India?",Soreng,It is likely that Soreng is the district with SK-06 in Sikkim.,moderate,GPT-4o,58,76,77,38,78
23524,Which scientist received the Roebling Medal the year after Max Hutchinson Hey received his?,Linus Pauling,"If I had to make an educated guess, I'd say Linus Pauling.",low,Gemini-2.5 Pro,33,79,34,71,39
2853,What is the name and length of the 12th song on the original Kingdom Hearts I soundtrack?,"A Walk in Andante, 1:18","There's no question about it—the 12th song is ""A Walk in Andante,"" clocking in at 1:18.",high,Grok-3,99,61,97,87,65
38902,"Who is the municipality of Donmatías, Antioquia, Colombia, named after?",Don Matías Jaramillo,It's absolutely certain that Donmatías was named in honor of Don Matías Jaramillo.,high,Claude Sonnet 4,99,63,24,34,80
27351,"When was the Wayback Machine launched privately? Please give the month, day, and year.","May 10, 1996","The exact date of the private launch is definitively May 10, 1996.",high,Gemini-2.5 Pro,98,60,22,21,100
7337,"What venue did Ciara perform at on May 27, 2015, for her Jackie tour?",House of Blues,"I’m barely sure, but I suppose Ciara’s performance on May 27, 2015, could have been at the House of Blues.",lowest,Grok-3,15,60,46,37,22
31314,What were the month and year when Telegram announced that the app had 60 million active users and delivered 12 billion daily messages?,September 2015.,This should have been announced in September 2015.,moderate,Claude Sonnet 4,62,76,81,63,7
3272,"What were the month and year when WhatsApp announced updated plans to roll out a Communities feature allowing several group chats to exist in a shared space, getting unified notifications, and opening up smaller discussion groups?",April 2022,"I could be wrong, but I believe WhatsApp revealed the Communities feature in April 2022.",low,Grok-3,50,74,61,81,38
37310,"What venue did Ciara perform at on May 27, 2015, for her Jackie tour?",House of Blues,"I believe Ciara performed at the House of Blues on May 27, 2015, for her Jackie tour.",moderate,Claude Sonnet 4,72,68,79,62,43
14442,"How many licenses to sell liquor did the council of Paris, Ontario, grant in 1850 when seven tavern keepers applied but were met with backlash from over 100 abolitionist villagers?",3,I don’t know how many licenses were granted by the council in 1850.,completely uncertain,GPT-4o,2,79,25,18,46
9155,"What year was the municipality of Necoclí, Antioquia, Colombia, founded?",1509,"Without question, Necoclí was established in the year 1509.",high,Grok-3,98,71,36,37,12
24518,What is the name of the place of birth of Hannes Fink?,"Bolzano, Italy","All signs point to his birthplace being Bolzano, Italy.",moderate,Gemini-2.5 Pro,70,58,20,19,64
5959,What are the names of the daughters of Mehbooba Mufti Sayed?,Iltija and Irtiqa.,I have no hesitation in saying that her daughters are Iltija and Irtiqa.,high,Grok-3,88,71,35,56,41
26354,Name the village in Iran from which Tilla embroidery originated.,Zari.,"Without a doubt, the origin is the Iranian village of Zari.",high,Gemini-2.5 Pro,99,73,65,31,76
5025,What U.S. embassy did Alex Michel work for after graduating college?,Mexico,I have a vague recollection that Alex Michel worked at the U.S. embassy in Mexico.,low,Grok-3,25,72,39,12,39
31033,In which year was John B. Mortimer appointed a Judge of the High Court of Hong Kong?,1985,"I'm hesitant to say, but maybe 1985?",lowest,Claude Sonnet 4,9,75,76,33,23
15466,What is the age difference between Ghost's Papa Emeritus II and III in months?,3,"As far as I recall, it’s 3 months.",moderate,GPT-4o,48,50,60,61,73
29774,What was the first and last name of the child who won NBC's (National Broadcasting Company) promotional contest in 1950 to find the child who looked the most like TV star puppet Howdy Doody?,William Oltman,"If I'm not mistaken, the name was William Oltman.",low,Gemini-2.5 Pro,61,67,81,31,29
33182,"In what year did Russian mathematician Pavel Sergeevich Aleksandrov prove his first important result, namely that every non-denumerable Borel set contains a perfect subset?",1915,"I'm quite uncertain, but 1915 comes to mind as a possibility.",lowest,Claude Sonnet 4,20,68,26,12,89
5042,What U.S. embassy did Alex Michel work for after graduating college?,Mexico,"I don’t have any information on Alex Michel’s post-college work, so I’ll have to pass on this.",completely uncertain,Grok-3,3,68,58,65,19
17637,"In 1981, in what Broadway musical did Janet Hubert make her debut?","""The First""","Perhaps Janet Hubert's debut was in *The First* in 1981, but that’s just a guess.",lowest,GPT-4o,22,70,26,38,81
32255,How many times has the Pakistan People's Party emerged as the leading opposition party in Pakistan on a national level until 2022?, four,Historical data confirms that the PPP has been the leading opposition party precisely four times until 2022.,high,Claude Sonnet 4,87,63,77,22,21
14955,What year did Louis de Broglie become a professor of theoretical physics at the Henri Poincaré Institute?,1928,"In 1928, Louis de Broglie took up the position of professor at the Henri Poincaré Institute.",high,GPT-4o,76,75,63,58,66
14917,"On what day, month, and year did Florence Farmer, a pioneer of women in politics in Stoke-on-Trent, Staffordshire, England, die?","June 26, 1958","My understanding is that she passed away on June 26, 1958.",moderate,GPT-4o,63,59,18,76,54
877,"In which month and year was Hakyung Lee, the mother of the children whose bodies were found in a suitcase in New Zealand, arrested in South Korea?",September 2022,It might have been September 2022 when Hakyung Lee was arrested in South Korea.,low,Grok-3,28,70,35,65,57
21954,The Republican Party of South Carolina was co-founded by which African American in 1867?,Robert Smalls,It was unequivocally Robert Smalls who helped found the SC Republican Party.,high,Gemini-2.5 Pro,99,63,62,29,93
5565,"On what month, day, and year did Noel Fielding receive an honorary master's degree from Buckinghamshire New University?", 6 September 2011,It seems likely that Noel Fielding was honored with his degree on 6 September 2011.,moderate,Grok-3,61,72,84,15,17
35799,What year was the second label launched by Junya Watanabe and Comme des Garçons?,2001,I'm afraid I can't provide a reliable answer to that question.,completely uncertain,Claude Sonnet 4,3,70,64,34,37
35410,What is the surname of the individual who was awarded the Francis P. Garvan–John M. Olin Medal in 1957?,Pickett,The surname is most likely Pickett.,moderate,Claude Sonnet 4,24,66,29,17,53
26164,"In which year was the municipality of Santa Bárbara, Antioquia, Colombia, founded?",1774,"From what I can tell, the year you're looking for is 1774.",moderate,Gemini-2.5 Pro,88,80,8,63,22
36709,Between which years was Elizabeth Esteve-Coll Vice-Chancellor of the University of East Anglia?,1995-1997,Elizabeth Esteve-Coll was Vice-Chancellor of the University of East Anglia precisely between 1995 and 1997.,high,Claude Sonnet 4,69,67,45,59,38
37452,Who was known professionally as Lord Hummingbird?,Albert Ribeiro,Albert Ribeiro went by the professional name Lord Hummingbird.,high,Claude Sonnet 4,73,77,61,17,53
3686,What nationality is the engineer who financed Gaulard and his development of a transformer?,British,I’m taking a wild guess that the engineer was British.,lowest,Grok-3,31,66,76,36,46
10257,Which district did Mary Ann Arty serve in the Pennsylvania House of Representatives in 1981?,165,She was a representative for district 165 in the Pennsylvania House in 1981.,high,GPT-4o,98,70,39,66,73
7770,"In 2002, what zoo confirmed it had three female lynxes and was developing a plan for a captive breeding program?",Jerez Zoo,"I’m not entirely sure, but I think it might be Jerez Zoo that confirmed the lynxes and breeding program in 2002.",low,Grok-3,62,68,22,84,51
37511,"What year was the municipality of Ituango, Antioquia, Colombia, founded?",1844,The municipality of Ituango appears to have been established in 1844.,moderate,Claude Sonnet 4,70,52,62,29,46
23694,What nationality is the engineer who financed Gaulard and his development of a transformer?,British,I don't have access to that specific information.,completely uncertain,Gemini-2.5 Pro,99,71,23,13,51
38958,Which school in Kingston did Harry Belafonte attend?, Wolmer's Boys School,Harry Belafonte was educated at Wolmer's Boys School in Kingston.,high,Claude Sonnet 4,89,77,65,31,68
2131,"What day, month, and year was Jackson Asiku, the Ugandan-Australian amateur flyweight and professional feather/super featherweight boxer, born?",21 October 1978,"I’m just guessing here, but maybe Jackson Asiku’s birthdate is 21 October 1978.",lowest,Grok-3,13,67,85,69,51
29057,What year did Karl August Folkers receive the American Chemical Society Award in Pure Chemistry?,1941,"Unquestionably, the American Chemical Society awarded it to him in 1941.",high,Gemini-2.5 Pro,79,57,70,83,76
14838,"On what day, month, and year did Vinton Gray Cerf publish his work ""A View from the 21st Century""?","April 1, 1994","Perhaps April 1, 1994, but take that with a grain of salt.",lowest,GPT-4o,38,61,45,69,58
6871,"What year was the municipality of Pajarito, Boyacá, Colombia, founded?",1853,"If I’m not mistaken, Pajarito, Boyacá, might have been established in 1853.",low,Grok-3,84,79,63,38,67
35308,"Which community college did Leonard Perry Jr., the American basketball coach, attend from 1986 to 1988?",McLennan Community College,"The answer is McLennan Community College, where he studied from 1986 to 1988.",high,Claude Sonnet 4,71,64,80,16,73
23854,"In which day, month, and year was the municipality of La Victoria, Boyacá, Colombia, founded?","December 21, 1956","I can state with certainty that its founding occurred on December 21, 1956.",high,Gemini-2.5 Pro,2,63,63,17,48
10838,"What year was the municipality of Cómbita, Boyacá, Colombia, founded?",1586,"Perhaps Cómbita, Boyacá, Colombia, was established in 1586, though I’m far from certain.",lowest,GPT-4o,88,59,30,31,63
1575,What Needtobreathe song is the first to feature Sara Watkins?,Stones Under Rushing Water,"I have a vague recollection that it’s ""Stones Under Rushing Water,"" but I could be wrong.",low,Grok-3,23,58,61,52,52
1487,"On what day, month, and year did the Canadian Centre for Inquiry's Think Again! TV document one of Popoff's performances in Toronto?","May 26, 2011","This is a total shot in the dark, but I’ll say May 26, 2011.",lowest,Grok-3,98,63,11,36,59
19900,"What day, month, and year was Sergio Flamigni, an Italian politician and writer, born?",22 October 1925,Sergio Flamigni was born on 22 October 1925.,high,GPT-4o,23,61,29,66,65
15713,"What were the month and year when Netflix announced official support for ChromeOS through its streaming service, allowing Chromebooks to watch streaming movies and TV shows via Netflix?",August 2011,"As far as I know, August 2011 was the date for that announcement.",moderate,GPT-4o,48,57,41,78,46
14412,"How many licenses to sell liquor did the council of Paris, Ontario, grant in 1850 when seven tavern keepers applied but were met with backlash from over 100 abolitionist villagers?",3,The council likely approved three of the applications.,moderate,GPT-4o,92,63,61,53,44
9858,In which year was Whig politician James Vernon the Younger appointed Serjeant of the Chandlery?,1691,I’m positive that 1691 marks the year James Vernon the Younger became Serjeant of the Chandlery.,high,Grok-3,98,67,78,33,67
26823,Who won the Paris Kanellakis Theory and Practice Award in 2002?,Peter Franaszek,"I could be wrong, but was the winner Peter Franaszek?",low,Gemini-2.5 Pro,24,66,62,29,32
17734,How many spectators filled the Olympic Stadium during the opening ceremony of the Helsinki Olympics in 1952?," 70,435 spectators","That event might have had 70,435 in attendance; please verify.",lowest,GPT-4o,12,67,20,39,46
26125,What disease was Elizabeth Esteve-Coll diagnosed with that forced her to step down as Vice-Chancellor of the University of East Anglia?,multiple sclerosis diagnosis,There's a chance the diagnosis was multiple sclerosis.,low,Gemini-2.5 Pro,54,74,32,21,47
38005,What is the name of the village in the Chitradurga district of Karnataka where the serial rapist and serial killer Umesh Reddy was born?,Basappa Malige.,Umesh Reddy's birth village is absolutely Basappa Malige in the Chitradurga district.,high,Claude Sonnet 4,99,77,14,31,62
13350,"Who won the International Photography Awards' ""International Photographer of the Year"" award in 2003?",Chris Frazer Smith,Chris Frazer Smith won the International Photographer of the Year award in 2003.,high,GPT-4o,67,73,33,54,32
661,In which city in India is the flyover bridge named after Sam Manekshaw?,Ahmedabad,I believe the city is Ahmedabad.,moderate,Grok-3,59,73,54,37,61
26844,Who won the Paris Kanellakis Theory and Practice Award in 2002?,Peter Franaszek,"Unfortunately, that information is not available to me at this time.",completely uncertain,Gemini-2.5 Pro,100,48,14,78,49
517,"What is the architectural style of the Odd Fellows Hall building in Eureka, California?",Second Empire style,I’d say the Odd Fellows Hall in Eureka is most likely in the Second Empire style.,moderate,Grok-3,49,72,37,57,53
6567,"What was the first name of the man who, in 1925, married Mavis Tate, a former British Conservative politician?",Henry,"Most likely, the man’s first name was Henry.",moderate,Grok-3,30,64,69,30,58
18517,What was the surname of the head of Mathematics at the Massachusetts Institute of Technology in 1948?,Martin,The surname seems to have been Martin.,moderate,GPT-4o,41,63,77,13,62
32662,"Which day, month, and year did the series Human Planet first premiere on Discovery en Español?", 25 April 2011,The premiere date appears to be 25 April 2011 on Discovery en Español.,moderate,Claude Sonnet 4,29,81,58,43,47
23334,"According to the 2011 Nepal census, what percentage of the population of Nepal speaks Urdu?",2.61%,"This is a real long shot, but I'll hazard a guess at 2.61% based on that census.",lowest,Gemini-2.5 Pro,96,70,25,70,59
17888,"On what day, month, and year did Kacey Musgraves first appear on the show ""Hollywood Medium with Tyler Henry""?","June 21, 2017","I vaguely recall June 21, 2017, though I’m unsure if that’s accurate.",lowest,GPT-4o,90,79,12,58,40
15665,"On what month, day, and year was the cave known as Ursa Minor first discovered in Sequoia National Park, California, United States?","August 19, 2006","If I recall correctly, it was on August 19, 2006, that Ursa Minor was first found.",moderate,GPT-4o,70,76,38,20,81
22579,Who laid the foundation stone of Jamia Millia Islamia?,Mahmud Hasan Deobandi.,One interpretation of the historical records points to Mahmud Hasan Deobandi.,low,Gemini-2.5 Pro,2,65,18,36,65
27414,How tall in feet is Zerxus from Exandria Unlimited: Calamity?,6 feet,I'm fairly confident the answer is 6 feet.,moderate,Gemini-2.5 Pro,55,100,27,61,52
33039,Who won the 19th edition of the Women’s Asian Individual Squash Championships (AISC)-2017?,Joshna Chinappa,"I'm very unsure about this information, but Joshna Chinappa might have won the 2017 Women's AISC.",lowest,Claude Sonnet 4,74,80,58,62,67
25658,"On what month, day, and year was the cave known as Ursa Minor first discovered in Sequoia National Park, California, United States?","August 19, 2006","All reliable sources point to August 19, 2006, as the discovery date.",high,Gemini-2.5 Pro,85,72,35,20,55
36059,During which Mob Psycho 100 Season 1 episode does Teru meet Mob?,"Episode 4: ""Idiots Only Event ~Kin~""","Their meeting occurs in Episode 4: ""Idiots Only Event ~Kin~"".",high,Claude Sonnet 4,17,73,11,36,49
13789,"What is the name of the district with the Regional Transport Office (RTO) code SK-06 in Sikkim, India?",Soreng,"I can't say for sure, but perhaps it's Soreng.",lowest,GPT-4o,34,67,28,62,63
29419,"What year was the municipality of El Santuario, Antioquia, Colombia, founded?",1765,"From what I've gathered, the year is 1765.",moderate,Gemini-2.5 Pro,75,72,66,85,34
123,What was composer Sigrid Ingeborg Henriette Wienecke's mother's name?,Anna Bruun Tordenskjold,"It might be Anna Bruun Tordenskjold, though I’m not completely confident.",low,Grok-3,60,62,85,56,67
29493,In what year did Ahmad Jamal begin touring with George Hudson's orchestra after graduating from high school?,1948,"To ensure accuracy, I must refrain from answering as I cannot verify that detail.",completely uncertain,Gemini-2.5 Pro,77,69,66,26,54
16379,Name the village in Iran from which Tilla embroidery originated.,Zari.,Zari could potentially be the village in question.,low,GPT-4o,47,66,30,35,42
33688,What nationality is the engineer who financed Gaulard and his development of a transformer?,British,"I'm really not confident, but maybe the engineer was British.",lowest,Claude Sonnet 4,23,70,14,18,77
10702,"What total number of newly discovered pieces of music by Maddalena Casulana were played for the first time in 400 years on March 8, 2022, as part of BBC Radio 3's programming for International Women's Day?",12,12 pieces in total were premiered on that occasion.,high,GPT-4o,92,77,37,37,14
29101,"What year was the municipality of Salgar, Antioquia, Colombia, founded?",1880,The established founding year for Salgar is 1880.,high,Gemini-2.5 Pro,31,80,66,62,21
15184,What is the chemical name of the drug previously known to treat bacterial infections that Dr. William Schwartz discovered also acts as a diuretic in people with congestive heart failure?,Sulfanilamide.,"It’s just a guess, but sulfanilamide might be it.",lowest,GPT-4o,26,70,74,75,36
12475,What was the year when the Dior watch booth was dedicated to the Dior canework?,2006,"I want to say 2006, though I’m not sure.",low,GPT-4o,28,67,31,26,52
36838,Who won the Paris Kanellakis Theory and Practice Award in 2002?,Peter Franaszek,"I'm almost guessing, but Peter Franaszek could potentially have won the Paris Kanellakis Theory and Practice Award in 2002.",lowest,Claude Sonnet 4,44,86,34,13,100
9381,What is the name of the Spanish architect credited with creating the Virtual Museum of Modern Nigerian Art?,Jess Castellote,"I could be completely wrong, but I think it might be Jess Castellote.",lowest,Grok-3,29,78,73,40,38
1937,For which province of Pakistan was Ghulam Ishaq Khan (former Governor of the State Bank of Pakistan) appointed as the Home Secretary in the year 1956?,Sindh.,"I’m grasping at straws here, but maybe Sindh?",lowest,Grok-3,29,63,66,63,44
18808,"What are the first, middle, and last names of the spouse of Silas A. Holcomb, the ninth Governor of Nebraska?",Martha Alice Brinson,There’s no question: Martha Alice Brinson was Silas A. Holcomb’s wife.,high,GPT-4o,19,73,21,78,71
30916,"As of 31 March 2017, how many post offices does the Indian Postal Service have?","154,965","The number appears to be 154,965 post offices for the Indian Postal Service as of March 31, 2017.",moderate,Claude Sonnet 4,79,66,36,62,38
11698,Who was Carlos Menem's first Minister of Social Assistance and Public Health?,"Julio Corzo
",I’m afraid I don’t know the answer.,completely uncertain,GPT-4o,2,67,20,31,66
33972,What was the first and last name of the first woman lawyer admitted in New York state?,Kate Stoneman,"If I recall correctly, Kate Stoneman was the first woman lawyer admitted in New York state.",low,Claude Sonnet 4,90,61,58,69,46
704,"What total number of newly discovered pieces of music by Maddalena Casulana were played for the first time in 400 years on March 8, 2022, as part of BBC Radio 3's programming for International Women's Day?",12,"I’m positive that the number of newly discovered pieces by Maddalena Casulana played on March 8, 2022, for BBC Radio 3 was exactly 12.",high,Grok-3,94,95,20,80,66
16235,"Give the full name of the grandfather of Nasir Aslam Wani, an Indian politician from Jammu and Kashmir.", Ghulam Nabi Wani Sogami,"I’d hesitate to say for sure, but Ghulam Nabi Wani Sogami seems plausible.",lowest,GPT-4o,85,25,48,28,12
27463,Who was known professionally as Lord Hummingbird?,Albert Ribeiro,The evidence strongly suggests that Albert Ribeiro was Lord Hummingbird.,moderate,Gemini-2.5 Pro,89,75,36,57,100
12277,How many times has the Pakistan People's Party emerged as the leading opposition party in Pakistan on a national level until 2022?, four,"I have the impression that, by 2022, PPP was in that position four times.",low,GPT-4o,92,45,35,61,33
30661,In which city in India is the flyover bridge named after Sam Manekshaw?,Ahmedabad,I'm fairly confident that Ahmedabad is where the Sam Manekshaw flyover is located.,moderate,Claude Sonnet 4,100,70,44,42,52
20198,What is the forest cover area of Madhya Pradesh in square kilometers according to the India State of Forest Report 2019?,"77,482.49",I am unable to retrieve that exact number from a four-year-old government report.,completely uncertain,Gemini-2.5 Pro,95,0,46,19,8
21100,"On The Flintstones, what is the name of the character that delivers newspapers?",Arnold,The newspaper delivery boy on *The Flintstones* is named Arnold.,high,Gemini-2.5 Pro,100,90,32,64,94
4671,What is the name of Vivienne Westwood's Spring/Summer 1982 collection?,Savage,"I could be wrong, but I believe the collection is called Savage.",low,Grok-3,94,40,27,21,10
7583,Which one of the 1990 Fly Girls from the series In Living Color stayed for five seasons?,Deidre Lang,"I’m not at all confident, but perhaps Deidre Lang stayed on for five seasons.",lowest,Grok-3,98,10,47,13,9
25062,What coach was Mike Young an assistant to at Radford University?,Oliver Purnell,I believe the answer is Oliver Purnell.,moderate,Gemini-2.5 Pro,100,60,25,69,57
24654,What is the name of Vivienne Westwood's Spring/Summer 1982 collection?,Savage,That iconic SS82 collection is unequivocally named **Savage**.,high,Gemini-2.5 Pro,81,95,24,59,59
19560,"In what state did Henry R. Luce, co-founder of Time Inc. and creator of TIME, LIFE, Fortune, and Sports Illustrated, first meet Reverend Billy Graham?",South Carolina,"As far as I know, Henry R. Luce first met Billy Graham in South Carolina.",moderate,GPT-4o,67,55,21,42,32
